Name	LATITUDE_S	LONGITUDE_	Length	AV_RGH_IRI	ALLVEHS_AA	TRUCKS_AAD	Name_2	LATITUDE_S_2	LONGITUDE__2	Length_2	AV_RGH_IRI_2	ALLVEHS_AA_2	TRUCKS_AAD_2	closestWindex	rainfall	Above_30_days	Above_37_5_days	dayspassed	ALLVEHS_AA_avg	TRUCKS_AAD_avg	IRI_increase
2000_F_1916_2017_19-01-2012_1	-37.849111	145.047479	101	1.35	77000	9200	2000_F_1900_2000_07-02-2014_1	-37.849074	145.047396	100	1.395	77000	9200	86304	1226.9	75	12	750	77000	9200	0.0449999999999999
2000_F_100_201_19-01-2012_1	-37.837558	145.036283	101	1.145	69000	8800	2000_F_100_200_07-02-2014_1	-37.837554	145.036277	100	1.19	69000	8800	86304	1226.9	75	12	750	69000	8800	0.0449999999999999
2000_F_18560_18661_19-01-2012_1	-37.932289	145.188886	101	0.635	85000	8200	2000_F_18500_18600_07-02-2014_1	-37.932294	145.18889	100	0.73	85000	8200	86111	1517.8	75	12	750	85000	8200	0.095
2000_F_27033_27134_19-01-2012_1	-37.988782	145.252419	101	1.17	63000	6100	2000_F_27000_27100_07-02-2014_1	-37.988775	145.252409	100	1.285	63000	6100	86224	1716.2	75	12	750	63000	6100	0.115
2000_F_26630_26731_19-01-2012_1	-37.98599	145.249432	101	1.155	63000	6100	2000_F_26600_26700_07-02-2014_1	-37.986025	145.249466	100	1.19	63000	6100	86224	1716.2	75	12	750	63000	6100	0.0349999999999999
2000_F_1210_1311_19-01-2012_1	-37.846272	145.040584	101	1.13	83000	9900	2000_F_1200_1300_07-02-2014_1	-37.846231	145.040558	100	1.155	83000	9900	86304	1226.9	75	12	750	83000	9900	0.0250000000000001
2000_F_2824_2925_19-01-2012_1	-37.853456	145.056097	101	2.6	86000	9200	2000_F_2800_2900_07-02-2014_1	-37.853382	145.055984	100	2.61	86000	9200	86304	1226.9	75	12	750	86000	9200	0.00999999999999979
2000_F_17753_17854_19-01-2012_1	-37.927104	145.182391	101	1.005	85000	8100	2000_F_17700_17800_07-02-2014_1	-37.927177	145.18248	100	1.035	85000	8100	86111	1517.8	75	12	750	85000	8100	0.03
2000_F_34699_34800_19-01-2012_1	-38.027042	145.320004	101	1.16	42000	3700	2000_F_34700_34800_07-02-2014_1	-38.027121	145.320094	100	1.195	42000	3700	86224	1716.2	75	12	750	42000	3700	0.0350000000000001
2000_F_25520_25621_19-01-2012_1	-37.978246	145.241362	101	0.88	84000	8100	2000_F_25500_25600_07-02-2014_1	-37.978388	145.241493	100	1.16	84000	8100	86224	1716.2	75	12	750	84000	8100	0.28
2000_F_18056_18156_19-01-2012_1	-37.929047	145.184829	100	1.235	85000	8100	2000_F_18000_18100_07-02-2014_1	-37.929096	145.184886	100	1.26	85000	8100	86111	1517.8	75	12	750	85000	8100	0.0249999999999999
